retriever,question_id,question,company,difficulty,section,ground_truth,answer,rouge_l,context_precision,answer_relevancy,faithfulness,retrieval_time,gen_time,total_time
BM25,abt_002,How does Abbott Laboratories sell its pharmaceutical products?,ABBOTT LABORATORIES,easy,section_1,Abbott's pharmaceutical products are sold primarily on the prescription or recommendation of physicians or other health care professionals.,"According to Section 1 of Abbott Laboratories' 2007 Form 10-K filing ([1]), Abbott's principal business is the discovery, development, manufacture, and sale of a broad and diversified line of health care products.

In particular, Abbott has four reportable revenue segments: Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Vascular Products. This indicates that Abbott sells its pharmaceutical products under the Pharmaceutical Products segment ([1], [3]).

However, in 2014, Abbott announced that it will sell its developed markets branded generics pharmaceuticals business to Mylan, which was previously included in the Established Pharmaceutical Products segment. Since then, this business is classified as discontinued operations ([2]).",0.0833,1.0,0.8,1.0,0.029,6.473,6.502
BM25,abt_003,What is Humira and what conditions does it treat?,ABBOTT LABORATORIES,medium,section_1,"Humira is a pharmaceutical product sold by Abbott Laboratories used to treat various conditions including rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, psoriasis and Crohn's disease.","The answer can be found in Abbott Laboratories' 2012 MD&A filing.

According to the filing, HUMIRA is a proprietary pharmaceutical product that treats several conditions, including:

- Ankylosing spondylitis
- Pediatric Crohn's disease
- Ulcerative colitis (with global regulatory applications submitted in early 2011)
- Uveitis (with Phase III trials ongoing in the U.S., EU, and Japan)
- Peripheral and axial spondyloarthritis (with Phase III trials ongoing in the U.S. and EU)
- Hidradenitis suppurativa (with Phase III trials ongoing in the U.S. and EU)
- Juvenile idiopathic arthritis (approval obtained in July 2011 for Japan)

These conditions are mentioned in Abbott Laboratories' MD&A filing on February 21, 2012 [5].",0.1037,0.2,0.75,1.0,0.033,6.98,7.013
BM25,abt_004,How does Abbott recognize revenue?,ABBOTT LABORATORIES,hard,section_8,"Abbott records revenue when certain conditions are met such as when a product is delivered or a service is performed, and allocates revenue based on the relative selling price of each deliverable.","According to Section 3 of the financial statements and Section MD&A of the 2019-02-22 filing, Abbott recognizes revenue when it transfers promised goods or services to customers in an amount that reflects the consideration to which the entity expects to be entitled in exchange for those goods or services.

This is stated in Note 3 - Revenue, where it is mentioned that ""Abbott's revenues are derived primarily from the sale of a broad line of health care products under short-term receivable arrangements."" (Source: [2])

Additionally, Section MD&A also mentions the impact of adopting ASU 2014-09 on Abbott's revenue recognition. It states that ""The core principle of the ASU is that an entity should recognize revenue when it transfers promised goods or services to customers in an amount that reflects the consideration to which the entity expects to be entitled in exchange for those goods or services."" (Source: [3])",0.0889,1.0,0.6667,1.0,0.019,7.74,7.758
BM25,abt_005,What types of products does Abbott's nutritional segment include?,ABBOTT LABORATORIES,medium,section_1,Abbott's nutritional segment includes a broad line of adult and pediatric nutritionals including prepared infant formula sold primarily on the recommendation of physicians and health care professionals.,"Abbott's Nutritional Products segment includes a broad line of pediatric and adult nutritional products, which can be broadly categorized into the following:

- Prepared infant formula and follow-on formula
- Adult and other pediatric nutritional products
- Nutritional products used in enteral feeding in health care institutions
- Specialty pharmaceuticals (e.g. Survanta)
- Zone Perfect bars and the EAS family of nutritional brands

These types of products are sold directly to consumers, often on the recommendation of physicians or other healthcare professionals, as well as to health care facilities and government agencies.

[1], [2], [3], and [4]",0.3226,1.0,0.8333,0.6667,0.032,7.617,7.649
BM25,adr_001,What cybersecurity risks does Adams Resources & Energy disclose?,"ADAMS RESOURCES & ENERGY, INC.",easy,section_1A,"Adams Resources discloses that it is subject to cybersecurity risks and may incur increasing costs to enhance security. Security breaches could expose the company to loss, misuse or interruption of sensitive information and result in operational impacts, reputational harm, and liability.","The provided filings do not contain enough information to answer this question. There is no mention of cybersecurity risks in any of the SEC filings provided, including ADAMS RESOURCES & ENERGY, INC. AND SUBSIDIARIES CONSOLIDATED STATEMENTS OF OPERATIONS (2019-03-11), ADAMS RESOURCES & ENERGY, INC. AND SUBSIDIARIES CONSOLIDATED STATEMENTS OF CASH FLOWS (2020-03-06), ADAMS RESOURCES & ENERGY, INC. AND SUBSIDIARIES CONSOLIDATED STATEMENTS OF SHAREHOLDERS’ EQUITY (2018-03-12), and ADAMS RESOURCES & ENERGY, INC. NOTES TO CONSOLIDATED FINANCIAL STATEMENTS (2009-03-24) and (2013-03-15).",0.1167,1.0,0.8571,0.8333,0.028,8.498,8.526
BM25,adr_002,What climate-related risks does Adams Resources disclose?,"ADAMS RESOURCES & ENERGY, INC.",medium,section_1A,"Adams Resources discloses that it may not be able to recover through insurance damages, losses or costs that may result from potential physical effects of climate change.","According to Section 9. Risk Factors (Date: 2021-03-05), Adams Resources discloses the following climate-related risks:

""we are subject to risks associated with climate change... Potential adverse effects could include disruption of our marketing and transportation activities, including, for example, damages to our facilities from powerful winds or floods, or increases in our costs of operation or reductions in the efficiency of our operations...""

Additionally, Section 9. Risk Factors (Date: 2021-03-05) mentions that climate change ""could have an effect on the severity of weather (including hurricanes and floods), sea levels, the arability of farmland and water availability and quality.""

No other specific climate-related risks are disclosed in the provided context.

[1]",0.1168,1.0,0.8,0.6667,0.028,6.67,6.698
BM25,adr_003,What accounting standards changes affected Adams Resources financial statements?,"ADAMS RESOURCES & ENERGY, INC.",hard,section_8,Adams Resources was affected by SFAS No. 145 which amended SFAS No. 13 on Accounting for Leases to eliminate an inconsistency between required accounting for sale-leaseback transactions.,"The adopted FASB ASU 2015-17, Balance Sheet Classification of Deferred Taxes, changed how deferred income taxes are presented on the balance sheet for Adams Resources & Energy, Inc. effective January 1, 2015 (Source: ADAMS RESOURCES & ENERGY, INC. AND SUBSIDIARIES CONSOLIDATED STATEMENTS OF OPERATIONS [5], Note 1).

There is no other information about accounting standards changes in the provided context.

[5]",0.0682,1.0,0.625,0.75,0.034,7.377,7.412
BM25,aar_001,What services does AAR Corp provide to government customers?,AAR CORP,medium,section_1,"AAR Corp provides fleet management and operations of customer-owned aircraft for the U.S. Department of State under the INL/A WASS contract, and customized performance-based supply chain logistics programs for the U.S. Department of Defense and foreign governments.","According to the provided SEC filings, AAR Corp provides customized flight hour component inventory and repair programs, warranty claim management, outsourcing programs for engine and airframe parts and components in support of their airline and government customers' maintenance activities. Additionally, they provide fleet management and operations of customer-owned aircraft for the U.S. Department of State (DoS) under the INL/A WASS contract.

Source: [3] and [5]

Note that while the exact nature of the performance-based supply chain logistics programs is not specified in these filings, it is mentioned that they provide customized performance-based supply chain logistics programs in support of the U.S. Department of Defense (""DoD"") and foreign governments (Source: [4]).",0.4626,1.0,0.6667,1.0,0.033,7.414,7.447
BM25,aar_002,What are AAR Corp's main business segments?,AAR CORP,easy,section_1,"AAR Corp has two main segments: Aviation Services which provides aftermarket support for commercial aviation and government/defense markets accounting for approximately 95% of sales, and Expeditionary Services which provides products supporting movement of equipment and personnel.","According to the provided context, AAR Corp's main business segments are:

Aviation Services and Technology Products.

This information is stated in Item 1. BUSINESS of AAR CORP's 2014-07-17 filing ([2]).

Additionally, prior to the second quarter of fiscal year 2013, AAR Corp reported four business segments: Aviation Supply Chain, Government and Defense Services, Maintenance, Repair and Overhaul, and Structures and Systems. However, as stated in Item 1. BUSINESS of AAR CORP's 2005-07-22 filing ([4]), the company changed its segment presentation to reflect the way its Chief Executive Officer evaluates performance and the way it is organized internally, resulting in the current two-segment structure.

It's worth noting that Aviation Services includes most of the former Government and Defense Services segment, and Technology Products represents the former Structures and Systems business segment.",0.1325,1.0,0.8,0.8571,0.026,8.562,8.588
BM25,aar_003,How did COVID-19 impact AAR Corp's business in fiscal 2020?,AAR CORP,medium,section_1,"COVID-19 significantly impacted AAR Corp in Q4 fiscal 2020 by decreasing commercial aircraft flying and flight hours. The company implemented cost reduction actions including hiring freeze, reducing non-essential spend, furloughs, reduction in force, and closure of an airframe maintenance facility in Duluth Minnesota.","The provided filings do not contain enough information to answer this question about AAR Corp, as the context is related to CECO Environmental Corp and Abbott Laboratories, but there is no mention of AAR Corp or its business impact from COVID-19 in the provided filings.

However, for companies like CECO Environmental Corp and Abbott Laboratories that have faced similar challenges, we can look at their own experiences. For example, according to [1] and [4], CECO Environmental Corp has stated that the continued spread of COVID-19 will continue to have a significant impact on its business, and may affect the demand for its products and disrupt its supply chain.

Similarly, in [3] and [5], Air Products & Chemicals, Inc. has discussed the negative impact of COVID-19 on its operating results, primarily in the regional industrial gas segments, due to containment and mitigation measures worldwide.",0.0968,0.0,0.5714,1.0,0.039,7.687,7.726
BM25,aar_004,What cybersecurity risks does AAR Corp disclose?,AAR CORP,medium,section_1A,"AAR Corp discloses that its systems and technologies or those of third parties could fail or become unreliable due to equipment failures, software errors, or cybersecurity attacks, which could disrupt operations.","ADAMS RESOURCES & ENERGY, INC. | Section: Risk Factors | Date: 2018-03-12

AAR Corp discloses the following cybersecurity risks:

* Reduced revenue and increased costs due to cyber-attacks or disruptions to its information technology systems
* Liability claims, fines, and harm to its competitive position
* Increased costs in connection with efforts to enhance and ensure security
* Cybersecurity breaches that could expose it to a risk of loss, misuse, or interruption of sensitive and critical information and functions
* Operational impacts, reputational harm, competitive disadvantage, litigation, regulatory enforcement actions, and liability
* Inability to prevent all rapidly evolving types of cyberattacks
* Increasing costs for technology, personnel, and services to enhance security or respond to occurrences

These risks are mentioned in Section: Risk Factors, Date: 2018-03-12.",0.1266,0.0,0.8,0.5,0.021,7.492,7.513
BM25,aar_005,How many FAA certificated repair stations does AAR Corp operate?,AAR CORP,easy,section_1,"AAR Corp has 12 FAA certificated repair stations in the United States, Canada, and Europe. Of these, seven are also EASA certificated and three are also Transport Canada Civil Aviation certificated.","According to various SEC filings, AAR Corp operates 13 FAA certificated repair stations in the United States, Canada, and Europe.

[Source: [1] - 2019-07-18, and [4] - 2017-07-12]

These 13 certificated FAA repair stations are distributed among the Aviation Services segment (12) and Expeditionary Services segment (1).",0.4103,1.0,0.75,1.0,0.033,4.737,4.77
BM25,ceco_001,How does economic conditions affect CECO Environmental's business?,CECO ENVIRONMENTAL CORP,medium,section_1,"Favorable economic conditions generally lead to plant expansions and construction of new industrial sites benefiting CECO, while weak economic conditions negatively impact demand for their environmental products and services.","The provided filings do not contain enough information to answer this question directly. However, it is mentioned that CECO Environmental evaluates their estimates on an ongoing basis using their historical experience, as well as other factors they believe appropriate under the circumstances, such as current economic conditions (see [1], [2], [3], [4], and [5]).",0.0964,1.0,0.5,0.5,0.025,5.432,5.457
BM25,ceco_002,What operational model does CECO Environmental use?,CECO ENVIRONMENTAL CORP,hard,section_7,CECO Environmental uses a centralized operational model throughout its operations which has provided certain efficiencies over a more decentralized model.,"According to CECO Environmental Corp.'s 2012-03-16 SEC filing, Section MD&A, the company uses a ""hub and spoke"" business model in which executive management, finance, administrative and marketing staff serves as the hub while the sales channels serve as spokes (Source: [1]).

This operational model is also described in more detail by the company on 2016-03-23 and 2017-03-14 SEC filings, Section Business, where it states that this model has provided certain efficiencies over a more decentralized model (Sources: [2], [3]).",0.2828,1.0,0.8,1.0,0.026,6.468,6.494
BM25,cross_001,Which companies disclose cybersecurity as a risk factor?,MULTIPLE,hard,section_1A,"Adams Resources & Energy, AAR Corp, and Matson Inc all disclose cybersecurity risks in their Risk Factors sections, noting that security breaches could expose them to loss of sensitive information and operational disruption.","ADAMS RESOURCES & ENERGY, INC. | Section: Risk Factors | Date: 2020-03-06

ADAMS RESOURCES & ENERGY, INC., BK Technologies Corp and CECO ENVIRONMENTAL CORP are the companies that disclose cybersecurity as a risk factor.

Additionally, BK Technologies Corp (section: Risk Factors) also mentions the risk of exposure to customers or partners to cybersecurity attacks.",0.2069,1.0,0.8333,0.5,0.028,5.12,5.149
BM25,cross_002,What government agencies are mentioned as customers across the filings?,MULTIPLE,medium,section_1,The U.S. Department of Defense and U.S. Department of State are mentioned as government customers by AAR Corp. Adams Resources also mentions government contracts.,"The government agencies mentioned as customers across the filings are:

Spain, Portugal, and the United Kingdom.

These countries are mentioned in [1] (2010-11-23) as regions where Air Products & Chemicals, Inc. tenders for significant parts of the healthcare business with government agencies.

Additionally, the U.S. government is also mentioned as a customer across the filings, specifically through its branches, agencies, and departments, such as the DoD (Department of Defense).

No specific government agencies are mentioned by name in [1], [2], [3], or [5].",0.1495,1.0,0.8571,1.0,0.03,6.385,6.415
BM25,cross_003,What environmental regulations affect these companies?,MULTIPLE,hard,section_1A,AAR Corp mentions environmental legal requirements and associated expenditures. Adams Resources discloses climate-related physical risks and potential inability to recover damages through insurance.,"According to the provided context from SEC filings:

ADAMS RESOURCES & ENERGY, INC. | Section: Risk Factors | Date: 2019-03-11
Federal, state or local government agencies may impose environmental regulations that increase costs and/or terminate or suspend operations.

(Source: [3])

Additionally, ADAMS RESOURCES & ENERGY, INC. | Section: Risk Factors | Date: 2009-03-24
Environmental, labor or other regulations that increase costs and/or terminate or suspend operations are also mentioned as a potential risk factor for the company.

(Source: [4])",0.0784,1.0,0.4,0.5,0.019,4.96,4.979
BM25,bkt_001,What sector does BK Technologies operate in?,BK Technologies Corp,easy,section_1,BK Technologies Corp operates in the communications technology sector providing mission-critical communications equipment.,"BK Technologies Corp operates in the Wireless Communications Equipment sector.

This answer is supported by [1] and [3], which describe the company's business as providing two-way radio communications equipment of high quality and reliability, consisting of two-way land mobile radios, repeaters, base stations, and related components and subsystems. Additionally, [5] provides general information about the company's products and markets served, further confirming this sector classification.

[1]: ""In business for over 70 years, BK designs, manufactures and markets wireless communications products consisting of two-way land mobile radios (“LMRs”), repeaters, base stations and related components and subsystems.""

[3]: ""BK Technologies Corporation (NYSE American: BKTI) ... provides two-way radio communications equipment of high quality and reliability. In business for over 70 years, BK designs, manufactures and markets American made wireless communications products consisting of two-way land mobile radios (“LMRs”), repeaters, base stations and related components and subsystems.""

[",0.1139,1.0,0.8,0.8571,0.027,8.328,8.355
BM25,apd_001,What business does Air Products and Chemicals operate in?,"Air Products & Chemicals, Inc.",easy,section_1,"Air Products and Chemicals operates in the industrial gases and chemicals business, providing atmospheric and process gases and related equipment to various industries.","Air Products and Chemicals, Inc. operates in several businesses, including:

* Energy
* Electronics
* Chemicals
* Metals
* Manufacturing

According to Section 1 of the Business section in Air Products and Chemicals, Inc.'s 2017-11-16 SEC filing [1], the Company serves energy, electronics, chemicals, metals, and manufacturing customers globally with a unique portfolio of products, services, and solutions that include atmospheric gases, process and specialty gases, equipment, and services.

Additionally, the Company has built leading positions in growth markets such as helium and natural gas liquefaction (see [1]).

Therefore, Air Products and Chemicals, Inc. operates in a diversified range of industries, including energy, electronics, chemicals, metals, and manufacturing.",0.1527,1.0,0.8333,1.0,0.027,7.502,7.529
BM25,acu_001,What risks does ACME United disclose to investors?,ACME UNITED CORP,easy,section_1A,ACME United discloses that ownership of the company's securities involves a number of risks and uncertainties that potential investors should carefully consider.,"The provided filings do not contain enough information to answer this question. The SEC 10-K filings from Acme United Corp for the years 2015-2019 and 2021 only provide general information about the company's operations, financial condition, and changes in stockholders' equity, but they do not specifically disclose risks to investors.

The notes to the consolidated financial statements (e.g., [1], [2], etc.) mention that the company is structured and evaluated based on geographic location, but they do not explicitly identify specific risks or hazards associated with this structure. Therefore, I cannot provide a more detailed answer about the risks disclosed by Acme United to investors.",0.0952,1.0,0.8,0.4,0.028,5.644,5.672
BM25,mat_001,What cybersecurity risks does Matson disclose?,"Matson, Inc.",easy,section_1A,Matson discloses that its information technology systems have in the past and may in the future be exposed to cybersecurity risks and other disruptions that could adversely impact the company.,"Matson discloses the following cybersecurity risks:

* Substantial aspects of their business depend on the secure operation of their computer systems and websites ([2] Section: Business, Date: 2020-02-28).
* They are subject to cybersecurity risks and may incur increasing costs in connection with their efforts to enhance and ensure security and in response to actual or attempted cybersecurity attacks ([3], [4], [5] Sections: Risk Factors, Dates: 2019-03-11, 2021-02-26, and 2013-03-15).
* Security breaches could expose them to a risk of loss, misuse, or interruption of sensitive and critical information and functions, including their own proprietary information and that of their customers, suppliers, and employees ([3], [4], [5] Sections: Risk Factors, Dates: 2019-03-11, 2021-02-26, and 2013-03-15).
* Cybersecurity risks",0.1351,0.4,0.75,1.0,0.021,7.991,8.012
BM25,temp_001,How did AMD's competitive position change between 2007 and 2021?,ADVANCED MICRO DEVICES INC,hard,section_1A,In 2007 AMD faced competition primarily from Intel in microprocessors. By 2021 AMD's competitive concerns expanded to include GPU competitors and the expansion of Intel into integrated graphics. AMD's risk disclosures became more detailed over time.,The provided filings do not contain enough information to answer this question about AMD's competitive position change between 2007 and 2021.,0.1053,0.2,0.8571,1.0,0.038,3.716,3.754
BM25,temp_002,When did Abbott Laboratories first disclose its four reportable segments?,ABBOTT LABORATORIES,hard,section_1,"Abbott Laboratories disclosed four reportable revenue segments including Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Vascular Products in filings from at least 2008 through 2011.","The provided filings do not contain enough information to answer this question. The exact date when Abbott Laboratories first disclosed its four reportable segments is not mentioned in the context from the SEC filings. However, it can be inferred that the four reportable segments were already present before January 1, 2004, as stated in Note [2], but the specific date of their disclosure is not provided.",0.1758,1.0,0.8571,0.6667,0.033,5.133,5.166
Hybrid,amd_001,What are AMD's main competitive risks in the processor market?,ADVANCED MICRO DEVICES INC,easy,section_1A,"AMD faces intense competition from Intel in microprocessors and faces risks including competitors introducing better products faster, aggressive pricing pressure, and competitors having greater access to complementary technologies.","According to Section MD&A of Advanced Micro Devices Inc.'s 2004-03-09 filing, AMD's main competitive risks in the processor market include:

* Intel’s dominant position and aggressive marketing and pricing strategies
* Losing Microsoft Corporation's support for their products, which would significantly affect their ability to market processors (Source: [2])
* The pace at which they expect to be able to convert production in Fab 30 to 90-nanometer process technology
* Their ability to maintain adequate selling prices of microprocessors despite increasingly aggressive Intel pricing strategies and marketing programs (Source: [2])

These risks are further emphasized in Section Risk Factors of Advanced Micro Devices Inc.'s 2011-02-18 filing, where it is stated that:

* Intel's dominant position in the microprocessor market and integrated graphics chipset market
* Its existing relationships with top-tier OEMs
* Its aggressive marketing and pricing strategies could result in lower unit sales and a lower average selling price for their products",0.0773,1.0,0.8333,1.0,0.13,9.273,9.404
Hybrid,amd_002,What was AMD's strategy for the enterprise processor market?,ADVANCED MICRO DEVICES INC,medium,section_7,AMD aimed to increase its share of the enterprise market with tier-one OEM customers to utilize capacity of their planned 300-millimeter wafer fabrication facility and marketed the AMD Opteron processor for enterprise customers.,"The provided filings do not contain enough information to answer this question directly. However, based on [2] which discusses the company's general microprocessor market strategy and risks in the consumer and commercial markets.

In [2], it mentions that AMD needs to ""increase sales of our x86 microprocessor products to existing customers and develop new customers in both consumer and commercial markets, particularly the latter."" It also highlights the importance of increasing share of the enterprise market with tier-one OEM customers to utilize the capacity of planned 300-millimeter wafer fabrication facility.",0.3089,1.0,0.6,0.75,0.062,6.876,6.938
Hybrid,amd_003,How did AMD describe its manufacturing strategy?,ADVANCED MICRO DEVICES INC,medium,section_1,AMD planned to transition to new process technologies at a fast pace including 90-nanometer process technology and build a 300-millimeter wafer fabrication facility to offer higher-performance microprocessors in greater volumes.,"The provided filings do not contain enough information to answer this question specifically about AMD's manufacturing strategy. However, we can look at the formation of GLOBALFOUNDRIES (GF), a manufacturing joint venture with Advanced Technology Investment Company LLC (ATIC) and West Coast Hitech L.P.

In 2009, AMD formed GF as follows: ""In March 2009, we formed GLOBALFOUNDRIES (GF), a manufacturing joint venture, with Advanced Technology Investment Company LLC (ATIC), and West Coast Hitech L.P. (WCH), acting through its general partner, West Coast Hitech G.P. Ltd.""

While this information provides some details about the company that produces AMD's semiconductors, it does not explicitly describe AMD's manufacturing strategy.

Therefore, The provided filings do not contain enough information to answer this question.",0.0946,0.8,0.75,0.5,0.051,8.881,8.933
Hybrid,amd_004,What markets does AMD sell its products in?,ADVANCED MICRO DEVICES INC,easy,section_1,"AMD sells microprocessors and related products in consumer and commercial markets including the PC market, mobile computing market, and enterprise market through tier-one OEM customers.","According to the provided context from SEC filings, AMD sells its products in various markets, including:

* Computation equipment market
* Communication equipment market

Additionally, it is stated that AMD sells its products in domestic and international markets, with a presence in countries such as Europe and the Asia-Pacific Basin.

It is also mentioned that one of the Company's distributors, Arrow Electronics, Inc., accounted for approximately 13% of 1996 net sales, and Fujitsu Limited accounted for approximately 13% of our consolidated net sales in 2003.",0.1273,1.0,0.8,1.0,0.056,5.388,5.443
Hybrid,amd_005,What financial risks does AMD disclose related to manufacturing?,ADVANCED MICRO DEVICES INC,hard,section_1A,"AMD discloses risks including failure to achieve yield and volume goals, inability to offer higher-performance microprocessors in significant volume on a timely basis, and risks related to transitioning to new process technologies.","According to SEC filings, AMD discloses several financial risks related to manufacturing:

1. Shortages of essential materials could occur due to interruption of supply or increased demand in the industry, which could lead to a material adverse effect on the Company's operations (Source: [1]).
2. Failure to procure certain raw materials could result in reduced manufacturing operations, also having a material adverse effect on the Company (Source: [1]).
3. The potential for foreign currency hedging transactions to affect AMD's consolidated financial statements (Source: [2], [5]).

These risks are not exhaustive, and other specific details about AMD's financial situation might be found in different parts of the documents.",0.1295,1.0,0.8333,0.8,0.058,8.761,8.819
Hybrid,abt_001,What are Abbott Laboratories' main business segments?,ABBOTT LABORATORIES,easy,section_1,"Abbott Laboratories has four reportable revenue segments: Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Vascular Products.","According to the provided SEC filings, Abbott Laboratories' main business segments are:

* Pharmaceutical Products
* Diagnostic Products
* Nutritional Products
* Vascular Products

These segments were reported in various 10-K filings, including [1] (2011-02-18), [3] (2010-02-19), and [5] (2015-02-27).",0.1786,1.0,0.8,1.0,0.053,5.824,5.878
Hybrid,abt_002,How does Abbott Laboratories sell its pharmaceutical products?,ABBOTT LABORATORIES,easy,section_1,Abbott's pharmaceutical products are sold primarily on the prescription or recommendation of physicians or other health care professionals.,"According to Abbott Laboratories' 2013-02-15 10-K filing ([1]), Abbott's proprietary pharmaceutical products are ""generally sold directly to wholesalers, distributors, government agencies, health care facilities, specialty pharmacies, and independent retailers from distribution centers and public warehouses"" (Note 6 - Segment and Geographic Area Information).

This information is consistent with Abbott Laboratories' 2010-02-19 10-K filing ([2]), which states that the Company's proprietary pharmaceutical products are ""sold primarily on the prescription or recommendation of physicians or other health care professionals"". However, it also notes that these products are sold directly to retailers, wholesalers, hospitals, healthcare facilities, laboratories, physicians' offices and government agencies throughout the world.

Therefore, Abbott Laboratories sells its pharmaceutical products through a combination of direct sales to healthcare professionals and indirect sales to retailers, wholesalers, and government agencies.",0.2345,1.0,0.8,1.0,0.054,8.234,8.287
Hybrid,abt_003,What is Humira and what conditions does it treat?,ABBOTT LABORATORIES,medium,section_1,"Humira is a pharmaceutical product sold by Abbott Laboratories used to treat various conditions including rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, psoriasis and Crohn's disease.",The provided filings do not contain enough information to answer this question.,0.0541,0.0,0.0,1.0,0.064,3.658,3.722
Hybrid,abt_004,How does Abbott recognize revenue?,ABBOTT LABORATORIES,hard,section_8,"Abbott records revenue when certain conditions are met such as when a product is delivered or a service is performed, and allocates revenue based on the relative selling price of each deliverable.","According to Section 3 of Abbott Laboratories' 2018-02-16 Financial Statements ([1]), ""Revenue from license of product rights, or for performance of research or selling activities, is recorded over the periods earned.""

Additionally, in Section 3 of Abbott Laboratories' 2012-02-21 Financial Statements ([3]), it is stated that ""Revenue from the launch of a new product, from an improved version of an existing product, or for shipments in excess of a customer's normal requirements are recorded when the conditions noted above are met.""

In Section 1 of Abbott Laboratories' 2018-02-16 MD&A ([2]), it mentions that ""Abbott recognizes revenue upon delivery of the product or performance of the service and allocates the revenue based on the relative selling price of each deliverable, which is based primarily on vendor specific objective evidence."" However, this does not provide a clear date range for when revenue is recognized.

It's worth noting that Abbott uses the modified",0.1978,1.0,0.6667,1.0,0.044,7.618,7.662
Hybrid,abt_005,What types of products does Abbott's nutritional segment include?,ABBOTT LABORATORIES,medium,section_1,Abbott's nutritional segment includes a broad line of adult and pediatric nutritionals including prepared infant formula sold primarily on the recommendation of physicians and health care professionals.,"The Nutritional Products segment includes:

* Various forms of prepared infant formula and follow-on formula, including Similac Advance®, Similac®, Similac With Iron, Isomil Advance®, Isomil®, Alimentum®, Gain®, Grow® (References: [1], [2], [3])
* Adult and other pediatric nutritional products, including Ensure®, Ensure Plus®, Glucerna®, ProSure®, PediaSure®, Pedialyte®, Juven®, Abound®, EleCare®, AdvantEdge®, Myoplex®, Zone Perfect® bars (References: [1], [2], [3])
* Nutritional products used in enteral feeding in health care institutions, including Jevity®, Osmolite®, Oxepa®, Nepro®, Freego sets (References: [1], [2], [3])
* The EAS family of nutritional brands, including AdvantEdge® and Myoplex® (Reference: [3])
* Zone Perfect bars",0.16,1.0,0.5,1.0,0.059,9.81,9.87
Hybrid,adr_001,What cybersecurity risks does Adams Resources & Energy disclose?,"ADAMS RESOURCES & ENERGY, INC.",easy,section_1A,"Adams Resources discloses that it is subject to cybersecurity risks and may incur increasing costs to enhance security. Security breaches could expose the company to loss, misuse or interruption of sensitive information and result in operational impacts, reputational harm, and liability.","Adams Resources & Energy discloses the following cybersecurity risks:

1. Inability to prevent all types of cyberattacks due to rapidly evolving threats, which may cause increasing costs for technology, personnel, and services to enhance security or respond to occurrences (as stated in Section 10-K Risk Factors, [1] and Notes to Consolidated Financial Statements, [2]).
2. Exposures to risk of loss, misuse, or interruption of sensitive and critical information and functions, including proprietary information and that of customers, suppliers, and employees (as stated in Section 10-K Risk Factors, [1] and Notes to Consolidated Financial Statements, [2]).
3. Operational impacts, reputational harm, competitive disadvantage, litigation, regulatory enforcement actions, and liability resulting from security breaches (as stated in Section 10-K Risk Factors, [1] and Notes to Consolidated Financial Statements, [2]).

There is no specific information provided on the types of cybersecurity risks Adams Resources & Energy faces,",0.2595,0.8,0.8571,1.0,0.054,8.299,8.353
Hybrid,adr_002,What climate-related risks does Adams Resources disclose?,"ADAMS RESOURCES & ENERGY, INC.",medium,section_1A,"Adams Resources discloses that it may not be able to recover through insurance damages, losses or costs that may result from potential physical effects of climate change.","According to Adams Resources' 2021 SEC filings, specifically the Risk Factors section ([4]) and the Financial Statements section ([5]), the company discloses the following climate-related risks:

1. Disruption of marketing and transportation activities due to severe weather events such as hurricanes and floods (Risk Factors [4]).
2. Potential damage to facilities from powerful winds or floods (Risk Factors [4]).
3. Increases in costs of operation or reductions in efficiency of operations (Risk Factors [4]).
4. Increased costs for insurance coverages in the aftermath of climate-related effects (Risk Factors [4]).
5. Indirect effects on financing and operations, such as disruptions to transportation or process-related services provided by companies or suppliers with whom Adams Resources has a business relationship (Risk Factors [4]).

These risks are associated with climate change and its potential impacts on Adams Resources' operations.

[1], [2]",0.0854,1.0,0.8,1.0,0.057,8.217,8.274
Hybrid,adr_003,What accounting standards changes affected Adams Resources financial statements?,"ADAMS RESOURCES & ENERGY, INC.",hard,section_8,Adams Resources was affected by SFAS No. 145 which amended SFAS No. 13 on Accounting for Leases to eliminate an inconsistency between required accounting for sale-leaseback transactions.,"The change in accounting standards that affected Adams Resources' financial statements is related to the adoption of FASB ASU 2015-17, Balance Sheet Classification of Deferred Taxes.

According to [1], it was discussed in Note 1 to the financial statements: ""As discussed in Note 1 to the financial statements, the Company changed its method of accounting for deferred income taxes effective January 1, 2015 due to the adoption of FASB ASU 2015-17, Balance Sheet Classification of Deferred Taxes.""

Additionally, [2] mentions that Deloitte & Touche LLP Houston, Texas (the independent registered public accounting firm) conducted audits in accordance with the standards of the Public Company Accounting Oversight Board (United States), but it does not provide further information on the specific change.

Therefore, the answer to your question is that Adams Resources' financial statements were affected by the adoption of FASB ASU 2015-17, Balance Sheet Classification of Deferred Taxes,",0.069,1.0,0.75,1.0,0.062,8.793,8.854
